ls11cd,la11nm,london_imd_rank,london_imd_decile,Index of Multiple Deprivation (IMD) Score,Income Score (rate),Employment Score (rate),"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Barriers to Housing and Services Score,Living Environment Score
E01000831,Bromley,4296,9,8.153,0.068,0.05,1.485,-1.263,-1.153,28.185,16.522
E01000832,Bromley,4607,10,5.996,0.034,0.034,2.27,-1.399,-0.419,28.798,12.278
E01000833,Bromley,4827,10,2.759,0.02,0.018,2.366,-1.844,-1.161,19.925,10.855
E01000834,Bromley,4725,10,4.859,0.035,0.031,4.992,-1.534,-1.084,23.788,14.13
E01000835,Bromley,4427,10,7.308,0.069,0.042,6.224,-1.212,-0.632,18.217,19.678
E01000836,Bromley,4658,10,5.562,0.031,0.029,4.058,-1.539,-1.067,28.96,14.583
E01000837,Bromley,3945,9,10.214,0.062,0.069,6.417,-0.59,-0.327,24.588,12.967
E01000838,Bromley,4717,10,5.005,0.021,0.035,5.414,-1.125,-0.463,21.962,12.69
E01000839,Bromley,4771,10,4.317,0.014,0.021,3.032,-1.659,-0.372,23.505,13.31
E01000840,Bromley,3920,9,10.385,0.054,0.058,4.215,-0.636,-1.082,34.857,16.522
E01000841,Bromley,4756,10,4.549,0.035,0.034,5.334,-1.51,-0.779,17.592,17.421
E01000842,Camden,4225,9,8.523,0.052,0.043,5.409,-1.457,0,20.65,28.562
E01000843,Camden,3457,8,13.567,0.124,0.054,5.168,-1.42,0.035,22.127,33.509
E01000844,Camden,4006,9,9.797,0.051,0.042,1.37,-1.241,0.371,19.61,36.274
E01000845,Camden,3793,8,11.305,0.078,0.051,4.754,-0.873,0.615,16.422,25.205
E01000846,Camden,2179,5,22.13,0.172,0.126,7.14,-0.456,0.443,21.463,30.249
E01000847,Camden,2907,7,17.13,0.153,0.089,6.343,-0.86,0.186,20.913,27.412
E01000848,Camden,4603,10,6.035,0.044,0.028,4.634,-2.093,0.008,16.562,23.112
E01000849,Camden,4358,10,7.694,0.042,0.029,11.132,-1.155,-0.132,18.64,27.837
E01000850,Camden,3353,7,14.252,0.062,0.037,4.658,-1.4,0.391,26.933,53.259
E01000851,Camden,3229,7,14.959,0.043,0.03,6.938,-1.23,-0.074,25.463,73.954
E01000852,Camden,3286,7,14.633,0.067,0.044,1.313,-0.619,0.486,26.461,48.184
E01000853,Camden,1065,3,30.826,0.226,0.177,11.128,-0.043,0.583,21.208,37.016
E01000854,Camden,3100,7,15.832,0.12,0.061,6.985,-0.417,-0.401,26.288,37.509
E01000855,Camden,3281,7,14.66,0.048,0.038,5.262,-1.024,0.357,29.218,55.455
E01000856,Camden,984,3,31.404,0.209,0.131,13.089,0.453,1.309,22.519,32.37
E01000857,Camden,3246,7,14.85,0.134,0.088,2.695,-0.492,-0.187,16.043,27.214
E01000858,Camden,419,1,37.66,0.261,0.165,13.07,0.328,1.81,25.208,27.855
E01000859,Camden,4442,10,7.224,0.05,0.044,3.367,-1.571,-0.298,16.506,29.592
E01000860,Camden,2824,6,17.703,0.164,0.069,5.566,-0.608,0.213,24.94,31.218
E01000861,Camden,773,2,33.498,0.177,0.129,4.645,0.213,1.735,25.48,54.956
E01000862,Camden,3850,8,10.864,0.046,0.037,0.973,-1.323,0.975,18.169,34.334
E01000863,Camden,669,2,34.37,0.158,0.137,12.966,0.699,1.7,27.059,42.259
E01000864,Camden,2798,6,17.932,0.11,0.08,2.487,-0.602,0.661,26.685,35.131
E01000865,Camden,3513,8,13.236,0.061,0.046,2.631,-0.258,0.422,21.308,42.017
E01000866,Camden,2129,5,22.434,0.151,0.108,3.61,-0.338,0.364,23.401,47.262
E01000867,Camden,1361,3,28.4,0.22,0.122,21.635,-0.078,0.4,24.804,37.23
E01000868,Camden,308,1,39.291,0.249,0.18,17.966,0.452,0.672,31.534,51.997
E01000869,Camden,2176,5,22.144,0.162,0.102,5.687,0.035,0.402,23.231,35.937
E01000870,Camden,1566,4,26.832,0.186,0.142,7.51,-0.036,0.66,21.676,39.027
E01000871,Camden,3359,7,14.237,0.107,0.065,4.36,-1.253,0.87,18.764,22.965
E01000872,Camden,1885,4,24.312,0.156,0.111,8.797,-0.004,0.819,24.267,35.741
E01000873,Camden,4210,9,8.615,0.073,0.052,8.386,-0.941,-0.453,14.565,22.093
E01000874,Camden,4723,10,4.907,0.035,0.027,2.621,-1.49,-0.65,13.581,29.47
E01000875,Camden,2221,5,21.838,0.158,0.101,13.15,-0.45,0.838,22.716,25.818
E01000876,Camden,1169,3,29.94,0.224,0.146,15.354,0.434,0.441,26.755,26.471
E01000877,Camden,3816,8,11.158,0.083,0.065,4.782,-0.542,-0.395,17.507,28.082
E01000878,Camden,4650,10,5.647,0.047,0.023,6.731,-1.822,-0.692,18.386,23.329
E01000879,Camden,4623,10,5.877,0.037,0.028,3.902,-2.079,-0.304,15.674,30.514
E01000880,Camden,4589,10,6.105,0.035,0.027,1.51,-2.257,-0.409,21.459,30.172
E01000881,Camden,3486,8,13.429,0.094,0.061,11.726,-1.238,-0.217,22.955,33.608
E01000882,Camden,4769,10,4.319,0.018,0.012,1.094,-2.291,-0.686,16.752,29.53
E01000883,Camden,4047,9,9.536,0.05,0.028,1.81,-1.602,0.489,23.195,33.868
E01000884,Camden,4689,10,5.273,0.036,0.038,1.073,-1.995,-0.667,20.452,22.626
E01000885,Camden,4472,10,7.027,0.037,0.022,6.521,-2.038,-0.208,24.559,26.368
E01000886,Camden,4126,9,9.126,0.075,0.053,3.934,-1.492,-0.251,15.506,29.929
E01000887,Camden,3542,8,13.063,0.09,0.068,6.057,-0.864,0.465,18.071,26.3
E01000888,Camden,3299,7,14.584,0.093,0.08,6.51,-0.745,0.347,18.193,31.576
E01000889,Camden,1059,3,30.868,0.229,0.169,24.407,0.415,0.196,18.763,26.258
E01000890,Camden,226,1,40.883,0.294,0.226,33.648,0.615,0.404,21.662,20.233
E01000891,Camden,372,1,38.283,0.277,0.19,29.554,0.496,0.787,26.18,20.126
E01000892,Camden,3109,7,15.799,0.142,0.085,8.699,-1.287,0.421,17.637,20.705
E01000893,Camden,4688,10,5.314,0.037,0.033,1.183,-1.725,-0.245,18.764,22.231
E01000894,Camden,4533,10,6.601,0.03,0.025,10.902,-1.916,0.063,12.639,29.284
E01000895,Camden,4252,9,8.367,0.087,0.044,5.145,-0.777,-0.733,15.151,22.818
E01000896,Camden,4643,10,5.734,0.024,0.022,2.912,-2.131,0.147,13.871,30.248
E01000897,Camden,4677,10,5.398,0.03,0.028,1.759,-2.098,0.187,11.872,26.687
E01000898,Camden,3721,8,11.81,0.104,0.056,8.946,-0.217,-0.889,23.984,14.835
E01000899,Camden,4611,10,5.971,0.013,0.01,3.102,-2.77,-0.007,12.864,36.627
E01000900,Camden,1675,4,26.042,0.162,0.12,18.221,-0.065,1.068,19.569,31.98
E01000901,Camden,1122,3,30.351,0.248,0.155,25.217,-0.067,0.469,22.769,21.845
E01000902,Camden,507,2,36.241,0.279,0.172,19.724,0.615,0.744,26.048,21.975
E01000903,Camden,2630,6,18.925,0.157,0.089,3.72,-0.322,0.572,18.249,31.053
E01000904,Camden,1847,4,24.584,0.187,0.107,15.771,-0.48,1.107,21.752,23.772
E01000905,Camden,384,1,38.075,0.291,0.171,24.836,0.524,0.992,22.68,26.951
E01000906,Camden,3912,9,10.421,0.072,0.049,1.216,-0.941,0.582,18.379,24.431
E01000907,Camden,732,2,33.796,0.236,0.184,19.066,0.32,1.103,21.115,18.547
E01000908,Camden,1509,4,27.211,0.201,0.155,15.136,-0.156,0.183,23.205,33.822
E01000909,Camden,3728,8,11.771,0.079,0.071,2.89,-1.532,0.228,16.668,31.487
E01000910,Camden,4018,9,9.73,0.051,0.048,1.228,-1.587,0.657,14.774,32.718
E01000911,Camden,2937,7,16.959,0.156,0.103,5.247,-0.77,0.184,16.959,22.127
E01000912,Camden,2145,5,22.316,0.181,0.107,11.16,-0.218,0.737,18.921,24.35
E01000913,Camden,4096,9,9.279,0.023,0.032,1.617,-1.576,0.983,17.109,31.659
E01000914,Camden,3537,8,13.106,0.073,0.052,7.575,-1.483,-0.414,22.243,49.784
E01000915,Camden,2049,5,23.058,0.195,0.11,13.757,-0.388,-0.816,23.662,40.954
E01000916,Camden,2552,6,19.491,0.135,0.083,10.937,-0.667,-0.974,25.341,51.268
E01000917,Camden,619,2,34.957,0.278,0.193,19.078,-0.055,0.101,22.324,39.25
E01000918,Camden,2379,5,20.684,0.131,0.086,9.457,-0.981,0.323,23.461,52.395
E01000919,Camden,2239,5,21.741,0.116,0.08,10.534,-0.303,0.828,23.423,48.166
E01000920,Camden,3221,7,15.017,0.113,0.068,3.863,-0.664,-0.498,21.398,43.564
E01000921,Camden,3201,7,15.197,0.086,0.061,3.194,-0.358,0.657,22.053,35.504
E01000922,Camden,2244,5,21.717,0.16,0.103,9.155,0.111,0.236,22.659,31.657
E01000923,Camden,2569,6,19.37,0.124,0.103,3.479,0.174,0.605,19.331,25.607
E01000924,Camden,3505,8,13.294,0.099,0.065,2.267,-1.006,0.352,19.106,32.866
E01000925,Camden,1234,3,29.369,0.252,0.151,16.507,0.16,0.125,22.9,26.391
E01000926,Camden,2863,6,17.412,0.149,0.076,4.334,0.091,0.196,20.118,25.117
E01000927,Camden,3233,7,14.937,0.096,0.067,5.579,-0.435,0.685,16.076,31.573
E01000928,Camden,2427,6,20.295,0.148,0.108,5.663,-0.177,0.265,18.688,36.205
E01000929,Camden,1755,4,25.374,0.203,0.123,18.603,-0.063,0.323,20.413,30.149
E01000930,Camden,1072,3,30.755,0.249,0.118,17.051,0.005,0.684,25.149,40.831
E01000931,Camden,655,2,34.552,0.251,0.155,11.856,-0.085,1.515,25.412,32.996
E01000932,Camden,2457,6,20.043,0.164,0.098,10.65,0.07,0.374,17.943,21.605
E01000933,Camden,1714,4,25.739,0.159,0.104,9.524,-0.392,1.344,18.064,44.647
E01000934,Camden,575,2,35.446,0.269,0.185,7.421,0.761,0.335,27.939,30.056
E01000935,Camden,879,2,32.327,0.277,0.165,14.031,0.056,0.112,31.828,24.073
E01000936,Camden,2276,5,21.454,0.147,0.081,19.968,-0.712,0.094,23.787,46.56
E01000937,Camden,3338,7,14.324,0.065,0.038,10.839,-0.911,0.599,27.399,39.795
E01000938,Camden,746,2,33.666,0.18,0.125,16.227,0.196,1.25,25.309,59.935
E01000939,Camden,320,1,39.074,0.267,0.173,29.679,0.226,1.253,22.998,36.622
E01000940,Camden,2512,6,19.688,0.144,0.077,8.647,-0.212,0.175,24.916,39.36
E01000941,Camden,390,1,38.035,0.271,0.178,17.189,0.509,1.164,22.309,34.655
E01000942,Camden,3184,7,15.339,0.061,0.033,12.857,-1.231,-0.148,22.271,65.799
E01000943,Camden,2490,6,19.812,0.109,0.11,1.271,-0.694,0.348,26.364,43.875
E01000944,Camden,2102,5,22.702,0.18,0.1,28.876,-0.345,-0.298,22.871,29.59
E01000945,Camden,1222,3,29.491,0.192,0.12,19.106,0.591,0.203,23.398,46.111
E01000946,Camden,3260,7,14.777,0.128,0.066,9.364,-0.654,-0.789,21.21,35.13
E01000947,Camden,1831,4,24.682,0.157,0.113,7.089,0.1,0.528,27.314,39.449
E01000948,Camden,1283,3,28.939,0.153,0.116,8.217,-0.202,1.814,25.334,40.649
E01000949,Camden,2526,6,19.618,0.157,0.101,16.538,0.13,-0.754,19.441,24.761
E01000950,Camden,283,1,39.726,0.296,0.179,37.491,0.458,0.178,23.919,39.712
E01000951,Camden,690,2,34.249,0.29,0.151,24.049,0.281,0.252,22.398,35.298
E01000952,Camden,783,2,33.388,0.23,0.156,22.022,0.303,0.988,23.684,31.163
E01000953,Camden,443,1,37.205,0.256,0.132,23.08,0.572,1.685,21.695,33.191
E01000954,Camden,629,2,34.893,0.27,0.175,37.11,0.352,-0.474,21.731,31.142
E01000955,Camden,796,2,33.231,0.218,0.159,32.989,0.238,0.817,21.557,31.146
E01000956,Camden,755,2,33.601,0.227,0.144,26.225,0.034,0.769,23.543,47.171
E01000957,Camden,1639,4,26.314,0.205,0.132,11.434,-0.066,0.59,25.626,26.675
E01000958,Camden,1854,4,24.531,0.196,0.108,16.08,0.505,0.039,22.273,24.057
E01000959,Camden,324,1,39.028,0.261,0.157,27.503,0.43,1.284,24.863,39.819
E01000960,Camden,2994,7,16.477,0.116,0.064,12.67,-1.038,0.306,27.917,31.202
E01000961,Camden,2112,5,22.612,0.175,0.126,12.125,-0.687,0.55,21.406,27.573
E01000962,Camden,4599,10,6.05,0.037,0.029,2.886,-1.066,-0.331,21.046,24.033
E01000963,Camden,4189,9,8.751,0.06,0.031,5.354,-1.324,-0.12,19.335,34.422
E01000964,Camden,2809,6,17.855,0.165,0.093,9.427,-0.67,-0.625,28.017,21.055
E01000965,Camden,2862,6,17.42,0.144,0.081,9.66,-0.355,0.328,19.028,26.921
E01000966,Camden,4481,10,6.968,0.037,0.024,3.354,-1.341,0.175,23.658,22.511
E01000967,Camden,4089,9,9.325,0.057,0.04,3.478,-1.818,0.463,18.658,30.31
E01000968,Camden,3349,7,14.268,0.101,0.065,8.663,-0.833,0.691,15.885,26.815
E01000969,Camden,4568,10,6.278,0.047,0.026,0.718,-1.361,-0.13,15.534,30.575
E01000970,Camden,3933,9,10.284,0.054,0.038,2.441,-0.357,-0.13,18.811,40.215
E01000971,Camden,4332,9,7.866,0.056,0.046,1.098,-1.09,-0.518,14.52,35.106
E01000972,Camden,1525,4,27.096,0.208,0.147,7.493,-0.125,-0.093,30.992,34.777
E01000973,Camden,2391,5,20.581,0.132,0.087,8.036,-0.13,0.695,23.475,34.988
E01000974,Camden,1788,4,25.094,0.183,0.121,14.046,-0.178,0.569,26.82,29.212
E01000975,Croydon,2822,6,17.721,0.096,0.054,17.617,-0.087,0.117,30.552,34.242
E01000976,Croydon,1704,4,25.791,0.149,0.09,11.754,0.469,0.277,32.485,44.409
E01000977,Croydon,1371,3,28.332,0.195,0.13,13.905,0.41,0.134,35.778,26.201
E01000978,Croydon,2397,5,20.55,0.086,0.069,6.279,-0.217,-0.05,44.699,43.199
E01000979,Croydon,2840,6,17.568,0.095,0.074,11.549,-0.451,-0.327,35.213,34.305
E01000980,Croydon,1612,4,26.51,0.192,0.122,11.74,0.468,0.242,24.048,33.971
E01000981,Croydon,3394,8,13.993,0.097,0.055,12.756,-0.145,-0.17,21.591,28.709
E01000982,Croydon,2674,6,18.644,0.138,0.077,14.896,-0.413,0.189,24.998,31.049
E01000983,Croydon,3471,8,13.494,0.071,0.054,7.826,-0.265,-0.068,24.295,36.677
E01000984,Croydon,1086,3,30.644,0.194,0.12,14.814,0.876,0.21,33.901,34.981
E01000985,Croydon,4190,9,8.729,0.059,0.046,7.55,-0.612,0.135,19.045,15.786
E01000986,Croydon,3544,8,13.043,0.083,0.063,3.365,-0.596,0.331,27.071,22.024
E01000987,Croydon,4081,9,9.378,0.049,0.041,9.596,-0.614,0.182,16.638,28.69
E01000989,Croydon,3625,8,12.449,0.079,0.058,14.994,-0.386,-0.423,27.773,15.104
E01000990,Croydon,249,1,40.278,0.257,0.195,36.434,0.341,0.309,41.084,25.882
E01000991,Croydon,4173,9,8.842,0.05,0.04,8.372,-0.794,-0.291,29.935,14.526
E01000992,Croydon,895,2,32.164,0.184,0.161,21.032,0.252,0.688,36.639,26.616
E01000993,Croydon,3662,8,12.212,0.069,0.048,10.827,-0.395,0.197,23.497,26.913
E01000994,Croydon,2498,6,19.762,0.119,0.084,10.333,-0.435,0.646,33.54,23.586
E01000995,Croydon,2396,5,20.555,0.117,0.074,10.405,-0.514,0.605,34.427,36.593
E01000996,Croydon,2470,6,19.945,0.125,0.083,10.517,0.098,0.328,27.947,29.686
E01000997,Croydon,2142,5,22.343,0.158,0.092,15.374,0.131,0.178,29.497,26.942
E01000998,Croydon,857,2,32.577,0.175,0.134,17.549,0.23,0.985,41.257,33.429
E01000999,Croydon,2091,5,22.777,0.128,0.09,15.873,-0.223,0.531,26.139,44.395
E01001000,Croydon,1386,3,28.215,0.135,0.101,15.191,0.271,1.216,36.048,32.827
E01001001,Croydon,431,1,37.455,0.248,0.142,17.488,0.31,0.755,42.079,42.834
E01001002,Croydon,2174,5,22.163,0.133,0.082,17.495,-0.009,0.169,31.447,36.803
E01001003,Croydon,1802,4,24.98,0.174,0.095,15.73,-0.431,0.227,37.736,36.319
E01001004,Croydon,1550,4,26.942,0.202,0.111,19.15,-0.237,0.224,39.551,23.374
E01001005,Croydon,2038,5,23.204,0.129,0.076,15.876,-0.051,0.829,35.524,29.98
E01001006,Croydon,1084,3,30.661,0.185,0.099,22.266,-0.096,0.678,54.144,18.612
E01001007,Croydon,2637,6,18.879,0.144,0.065,14.397,-0.635,-0.108,37.361,25.388
E01001008,Croydon,1115,3,30.401,0.191,0.108,32.108,0.25,0.472,37.076,29.963
E01001009,Croydon,1955,5,23.746,0.153,0.09,12.461,-0.234,0.382,37.412,33.992
E01001010,Croydon,187,1,41.778,0.249,0.147,42.515,0.247,1.277,40.48,35.766
E01001011,Croydon,1058,3,30.871,0.185,0.121,20.189,-0.292,0.909,42.8,31.737
E01001012,Croydon,426,1,37.546,0.206,0.124,23.673,0.39,1.13,46.457,39.243
E01001013,Croydon,66,1,46.101,0.28,0.172,31.737,0.869,1.317,45.213,25.463
E01001014,Croydon,1129,3,30.289,0.148,0.093,19.045,0.221,1.046,42.79,38.507
E01001015,Croydon,1888,4,24.292,0.173,0.102,20.311,-0.126,-0.38,44.38,10.141
E01001016,Croydon,3331,7,14.363,0.068,0.061,7.308,-0.578,-0.22,44.543,11.141
E01001017,Croydon,4307,9,8.041,0.036,0.031,3.663,-1.171,-1.283,39.662,13.522
E01001018,Croydon,4556,10,6.431,0.037,0.032,6.553,-0.633,-0.134,20.002,15.917
E01001019,Croydon,4670,10,5.448,0.042,0.035,5.489,-0.866,-0.971,24.244,8.491
E01001020,Croydon,4242,9,8.448,0.054,0.056,10.246,-0.691,-0.154,17.438,13.754
E01001021,Croydon,574,2,35.481,0.238,0.145,36.348,0.673,0.496,38.442,10.64
E01001022,Croydon,4086,9,9.338,0.052,0.044,5.282,-1.004,0.057,34.22,7.241
E01001023,Croydon,2003,5,23.385,0.142,0.119,9.142,0.109,0.227,31.872,29.812
E01001024,Croydon,4165,9,8.874,0.061,0.055,6.09,-0.647,0.053,17.858,15.898
E01001025,Croydon,4574,10,6.227,0.037,0.029,9.879,-1.16,-0.446,24.116,13.227
E01001026,Croydon,3587,8,12.713,0.108,0.065,14.287,-0.299,-0.488,21.782,9.611
E01001027,Croydon,3895,9,10.503,0.059,0.051,10.971,-0.714,-0.252,30.415,13.738
E01001028,Croydon,4579,10,6.172,0.034,0.048,2.573,-0.964,-0.575,23.941,14.207
E01001029,Croydon,3227,7,14.98,0.076,0.068,3.342,-0.36,0.149,38.929,16.342
E01001030,Croydon,4432,10,7.277,0.04,0.034,2.039,-0.978,0.017,28.79,13.927
E01001031,Croydon,4494,10,6.872,0.032,0.037,2.38,-0.811,0.58,16.908,14.699
E01001032,Croydon,4797,10,3.765,0.021,0.03,1.758,-0.763,-0.895,19.969,10.837
E01001033,Croydon,3314,7,14.464,0.067,0.044,7.035,-0.518,0.239,30.551,40.565
E01001034,Croydon,3248,7,14.826,0.075,0.061,10.199,-0.367,-0.342,34.835,28.756
E01001035,Croydon,2726,6,18.386,0.089,0.074,10.188,0.374,-0.144,36.789,20.629
E01001036,Croydon,3696,8,11.983,0.036,0.045,4.595,-0.6,0.297,41.006,15.814
E01001037,Croydon,2416,5,20.404,0.127,0.073,18.427,0.002,0.023,25.578,39.85
E01001038,Croydon,2700,6,18.538,0.093,0.075,13.536,0.054,-0.18,37.622,23.706
E01001039,Croydon,4206,9,8.629,0.053,0.051,1.966,-1.074,0.293,25.568,11.567
E01001040,Croydon,3207,7,15.153,0.1,0.07,10.936,-0.538,-0.506,25.887,34.006
E01001041,Croydon,2316,5,21.138,0.114,0.088,8.979,0.076,0.364,29.651,38.265
E01001042,Croydon,488,2,36.634,0.187,0.095,22.407,0.135,1.99,39.929,47.057
E01001043,Croydon,975,3,31.45,0.166,0.094,12.855,-0.159,1.38,38.001,51.95
E01001044,Croydon,3946,9,10.209,0.064,0.038,1.384,-0.939,0.3,29.94,20.796
E01001045,Croydon,555,2,35.775,0.198,0.158,15.744,0.249,0.306,42.086,53.012
E01001046,Croydon,4012,9,9.773,0.05,0.031,2.437,-1.13,-0.272,36.748,24.156
E01001047,Croydon,2193,5,22.051,0.102,0.063,9.973,-0.015,0.825,31.677,47.31
E01001048,Croydon,1289,3,28.921,0.161,0.109,10.536,0.177,1.305,37.14,28.94
E01001049,Croydon,3638,8,12.324,0.043,0.047,1.574,-1.121,0.881,36.917,13.788
E01001050,Croydon,2194,5,22.047,0.137,0.075,7.433,0.337,0.36,39.479,22.572
E01001051,Croydon,322,1,39.057,0.269,0.152,42.884,0.694,0.732,37.774,8.763
E01001052,Croydon,174,1,42.12,0.303,0.185,40.359,0.397,0.614,41.102,10.342
E01001053,Croydon,873,2,32.404,0.211,0.138,40.609,0.3,0.446,31.653,22.877
E01001054,Croydon,625,2,34.919,0.239,0.161,39.484,0.494,0.204,33.578,16.291
E01001055,Croydon,336,1,38.85,0.235,0.177,52.171,0.466,0.548,30.813,25.407
E01001056,Croydon,402,1,37.89,0.272,0.166,44.814,0.309,0.255,37.954,13.269
E01001057,Croydon,238,1,40.503,0.301,0.171,47.454,0.415,0.075,40.652,9.749
E01001058,Croydon,3743,8,11.624,0.058,0.057,13.316,-0.236,0.118,26.82,8.925
E01001059,Croydon,3195,7,15.24,0.1,0.067,10.031,-0.023,-0.582,34.575,12.562
E01001060,Croydon,2399,5,20.543,0.137,0.075,18.297,-0.456,0.878,32.404,12.221
E01001061,Croydon,1967,5,23.65,0.147,0.091,23.609,-0.058,0.624,35.273,14.612
E01001062,Croydon,3996,9,9.874,0.078,0.058,6.199,-0.624,-0.172,20.804,14.39
E01001063,Croydon,4496,10,6.864,0.058,0.043,6.54,-0.927,-0.303,16.422,15.829
E01001064,Croydon,3570,8,12.837,0.05,0.048,5.758,-0.908,0.934,33.514,13.276
E01001065,Croydon,3091,7,15.885,0.085,0.063,11.544,-0.495,0.592,31.752,20.193
E01001066,Croydon,331,1,38.911,0.284,0.172,31.154,0.573,0.087,43.235,13.523
E01001067,Croydon,4477,10,6.996,0.018,0.04,1.78,-0.579,-0.77,32.863,11.241
E01001068,Croydon,2883,6,17.303,0.099,0.074,15.84,-0.648,-0.299,41.932,13.211
E01001069,Croydon,4013,9,9.762,0.042,0.047,5.231,-0.371,-0.964,37.516,10.335
E01001070,Croydon,3318,7,14.452,0.104,0.071,10.538,-0.224,-0.569,32.646,8.697
E01001071,Croydon,3558,8,12.944,0.073,0.056,14.609,-0.809,-0.243,35.16,12.798
E01001072,Croydon,4286,9,8.211,0.04,0.026,2.115,-0.765,-0.296,37.588,9.538
E01001073,Croydon,3015,7,16.333,0.08,0.071,4.276,-0.085,-0.52,40.048,26.101
E01001074,Croydon,2737,6,18.325,0.114,0.067,12.592,-0.317,-0.389,39.663,27.057
E01001075,Croydon,3748,8,11.58,0.064,0.046,6.045,-0.228,-0.561,31.567,24.712
E01001076,Croydon,509,2,36.214,0.223,0.168,39.09,0.582,0.411,36.015,18.478
E01001077,Croydon,2698,6,18.542,0.098,0.075,27.64,-0.182,0.277,27.48,20.707
E01001078,Croydon,532,2,36.004,0.237,0.15,38.153,0.452,0.646,37.869,16.14
E01001079,Croydon,716,2,33.984,0.229,0.137,36.746,0.431,-0.34,45.098,16.311
E01001080,Croydon,25,1,49.591,0.294,0.229,51.68,0.992,0.606,43.488,9.829
E01001081,Croydon,647,2,34.64,0.215,0.125,50,0.784,0.062,35.987,19.234
E01001082,Croydon,812,2,33.023,0.202,0.146,43.41,0.186,0.614,35.11,15.077
E01001083,Croydon,3492,8,13.37,0.089,0.05,5.828,-0.805,0.335,30.8,24.05
E01001084,Croydon,3395,8,13.991,0.066,0.048,4.058,-0.518,0.442,29.135,36.611
E01001085,Croydon,2679,6,18.622,0.119,0.061,10.46,-0.838,0.487,29.51,41.293
E01001086,Croydon,2965,7,16.705,0.082,0.057,8.167,-0.597,0.91,31.491,27.58
E01001087,Croydon,1923,4,23.96,0.114,0.078,17.525,-0.569,0.782,39.793,39.387
E01001088,Croydon,3051,7,16.133,0.119,0.074,14.939,-0.635,-0.309,28.531,23.44
E01001089,Croydon,1310,3,28.744,0.167,0.092,16.224,0.352,0.644,37.188,42.395
E01001090,Croydon,2005,5,23.381,0.135,0.079,17.147,-0.537,0.375,40.115,37.337
E01001091,Croydon,3179,7,15.404,0.088,0.061,5.579,-0.54,0.767,29.176,22.766
E01001092,Croydon,2486,6,19.832,0.083,0.107,3.892,-0.131,0.432,40.45,19.045
E01001093,Croydon,3737,8,11.683,0.083,0.054,8.395,-0.625,-0.241,29.504,16.199
E01001094,Croydon,4239,9,8.462,0.04,0.037,1.581,-0.82,-0.15,34.082,14.995
E01001095,Croydon,3025,7,16.293,0.118,0.075,8.269,-0.384,0.058,29.65,22.399
E01001096,Croydon,4463,10,7.102,0.039,0.047,1.06,-0.996,-0.584,31.044,10.59
E01001097,Croydon,2132,5,22.424,0.145,0.1,12.626,-0.238,0.607,31.206,26.437
E01001098,Croydon,4395,10,7.535,0.039,0.033,1.77,-0.524,0.017,27.862,13.365
E01001099,Croydon,2509,6,19.716,0.138,0.103,9.723,-0.647,-0.274,37.581,19.486
E01001100,Croydon,4178,9,8.833,0.052,0.032,1.818,-0.957,-0.49,31.848,26.018
E01001101,Croydon,4704,10,5.124,0.026,0.035,3.284,-0.995,-0.865,25.742,11.954
E01001102,Croydon,4457,10,7.129,0.053,0.045,4.692,-0.554,-0.209,18.332,13.573
E01001103,Croydon,4447,10,7.187,0.053,0.059,7.346,-0.831,-0.751,19.922,7.967
E01001104,Croydon,4639,10,5.761,0.033,0.034,3.031,-0.92,-0.334,19.426,22.051
E01001105,Croydon,2367,5,20.775,0.118,0.088,18.693,0.228,-0.048,35.995,15.602
E01001106,Croydon,3610,8,12.55,0.079,0.067,15.951,-0.233,-0.167,21.787,11.849
E01001107,Croydon,4471,10,7.039,0.031,0.035,1.512,-1.221,-0.847,35.144,14.767
E01001108,Croydon,4701,10,5.129,0.028,0.027,2.376,-1.7,-0.503,28.561,10.48
E01001109,Croydon,907,2,32.11,0.202,0.138,24.831,-0.006,0.467,39.625,33.884
E01001110,Croydon,139,1,43.021,0.233,0.15,21.79,1.065,1.104,38.766,51.675
E01001111,Croydon,1351,3,28.48,0.157,0.108,18.96,0.11,0.93,30.972,40.848
E01001112,Croydon,1117,3,30.378,0.226,0.125,17.894,0.561,0.24,37.689,17.355
E01001113,Croydon,1363,3,28.381,0.162,0.117,18.495,-0.133,0.733,37.187,36.175
E01001114,Croydon,202,1,41.451,0.25,0.149,34.193,0.682,0.953,43.88,32.375
E01001115,Croydon,99,1,44.37,0.257,0.163,26.199,0.805,1.615,42.819,29.457
E01001116,Croydon,1295,3,28.878,0.157,0.117,17.426,0.127,0.841,34.113,38.957
E01001117,Croydon,1476,4,27.454,0.136,0.091,13.794,-0.045,0.641,45.347,40.511
E01001118,Croydon,241,1,40.478,0.258,0.173,20.702,0.475,1.095,41.587,29.62
E01001119,Croydon,4168,9,8.868,0.041,0.049,11.824,-0.952,-0.894,34.385,6.522
E01001120,Croydon,3976,9,10.028,0.056,0.051,10.859,-0.344,-0.151,16.45,25.94
E01001121,Croydon,4438,10,7.244,0.034,0.035,7.132,-0.642,-0.352,30.355,6.778
E01001122,Croydon,4048,9,9.529,0.034,0.023,6.589,-0.947,-0.716,41.683,17.708
E01001123,Croydon,4105,9,9.235,0.036,0.04,9.24,-0.761,-0.07,33.668,11.107
