,LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,area,summary,m_price,minimum_ni,m_monrevie,m_hostlist,m_avaliabl,geometry,density,Unnamed: 0,code,name,london_imd_rank,london_imd_decile,imd,income,employment,edu_ski_tra,health_depri,crime,hous_serv,living_env,cluster_id
729,E01000744,Bromley 009B,E02000135,Bromley 009,E09000006,Bromley,E12000007,London,1531,1484,47,71.4,682,2.2,211109.46315361783,10.0,52.4,2.3,0.931428571428571,1.3,0.240547945205479,"POLYGON ((-0.070227372752073 51.409533704420866, -0.0677398749333619 51.40899038071459, -0.0649785689783361 51.409113260122055, -0.0639507841765332 51.408370911989614, -0.0649064223772293 51.40773846395299, -0.0641162594999147 51.4071204624287, -0.0646462695766115 51.40677119806748, -0.0649703155172517 51.40692937208235, -0.065740442055706 51.40647236876434, -0.0650645107967737 51.40597495415129, -0.0655594407742981 51.40571064541922, -0.0664472580786655 51.40523379090055, -0.0671353173677559 51.404856502917795, -0.0686019250729095 51.40384221231815, -0.0694909569049032 51.405422255113876, -0.0699024627127921 51.40599146642847, -0.0713039118640106 51.40720864122067, -0.0715704473244449 51.40739602085731, -0.0728415741571671 51.4085530826301, -0.0730106951051506 51.40880223755882, -0.073131099439685 51.40897959360365, -0.070227372752073 51.409533704420866))",4.736879081883368e-05,729,E01000744,Bromley,190,1,41.713,0.301,0.196,29.492,0.584,0.511,38.555,16.883,1
765,E01000781,Bromley 001C,E02000127,Bromley 001,E09000006,Bromley,E12000007,London,1445,1445,0,84.0,614,2.4,172645.25591141565,3.0,23.666666666666668,2.0,2.46,1.333333333333333,0.374429223744292,"POLYGON ((0.0488010999645143 51.43162002998062, 0.0495906917292835 51.431602842991154, 0.0502331417520224 51.43203982752474, 0.052357248441705 51.4302613290101, 0.0525112195744535 51.43010361383566, 0.0547610225083178 51.42758468998304, 0.0528534388738394 51.427352857242845, 0.0532653364134877 51.42775913304585, 0.05284027766653 51.42822521482896, 0.0516092254190449 51.428169271290834, 0.0519709545201041 51.42847179795065, 0.0513873413959533 51.428743508962995, 0.0508081571628926 51.42836413803426, 0.0499362364850847 51.42839357408619, 0.0492496319203258 51.428292820377415, 0.0488324284980617 51.42847341583767, 0.0485041569182779 51.428994660213554, 0.0478529621481729 51.4288150325939, 0.0463464225117287 51.42906869553883, 0.0452323020503514 51.42981073636855, 0.0451417432588065 51.42988068026228, 0.0467623076149046 51.43098144139161, 0.0466759272466101 51.43142878804476, 0.0465992040543878 51.432110598178944, 0.0471936674676651 51.43252926442589, 0.0475552058353234 51.43270705919742, 0.0488010999645143 51.43162002998062))",1.7376672090771502e-05,765,E01000781,Bromley,437,1,37.305,0.252,0.16,38.769,0.412,0.977,32.388,14.375,1
766,E01000782,Bromley 001D,E02000127,Bromley 001,E09000006,Bromley,E12000007,London,1441,1441,0,50.8,647,2.2,282151.356958176,2.0,75.5,2.0,1.17,1.0,0.13972602739726,"POLYGON ((0.0422073447739863 51.43131231284171, 0.0422049548746032 51.4312361401933, 0.0431938805479342 51.43126278011908, 0.0451417432591393 51.42988068026183, 0.0452323020501613 51.42981073637003, 0.0447779592694585 51.429568420398375, 0.0449798864771877 51.42899860886043, 0.0436215703219229 51.42879475627912, 0.0447096071310518 51.42832489553588, 0.0450678298326577 51.428620130275476, 0.0455744002795227 51.42834198093145, 0.0458101083857184 51.428607975712445, 0.0463925646136954 51.42829261665027, 0.0475363343152566 51.42823559804365, 0.0469720693992776 51.42736100834511, 0.0473975111453906 51.42706581456157, 0.0474095094923618 51.426457634381805, 0.0465557433434732 51.42641194379655, 0.0460097994195289 51.42668205297109, 0.0459258788933557 51.42705115462434, 0.0448450179337533 51.42700706862065, 0.0443130564951381 51.427297861126725, 0.0433170860373266 51.42725941150614, 0.0428851986194212 51.427560044382716, 0.0426873299098278 51.427319157781895, 0.0422765385958927 51.42688966951981, 0.0425755616021768 51.42654577884685, 0.0423894533475436 51.42618653878947, 0.0419053820985429 51.42647203430402, 0.0414003849501895 51.42626847481774, 0.0395109189536638 51.4246209244175, 0.0388206369524798 51.424691685485, 0.0388761420794021 51.42607662450153, 0.0384184720281028 51.427248313025906, 0.0384055939075955 51.427587297195444, 0.0378450411271652 51.427726380513, 0.0382691258825516 51.427955283468094, 0.0382518071142946 51.42907760278203, 0.0376916686527774 51.430898958252165, 0.0375735153336139 51.43132581581959, 0.0422073447739863 51.43131231284171))",7.088394050489947e-06,766,E01000782,Bromley,38,1,47.689,0.292,0.221,38.44,0.778,1.061,38.35,22.483,1
767,E01000783,Bromley 001E,E02000127,Bromley 001,E09000006,Bromley,E12000007,London,1503,1503,0,79.6,626,2.4,188705.99739266478,3.0,26.666666666666668,3.666666666666667,3.34,1.333333333333333,0.607305936073059,"POLYGON ((0.0463464225096627 51.42906869553954, 0.047852962149819 51.428815032593356, 0.048504156916194 51.42899466021635, 0.0488324284960706 51.4284734158374, 0.0492496319198448 51.42829282037714, 0.049936236481792 51.428393574084524, 0.0508081571597776 51.428364138035334, 0.0513873413922933 51.42874350896391, 0.0519709545211861 51.42847179795129, 0.0516092254188005 51.42816927128894, 0.0528402776669604 51.42822521483061, 0.0532653364120062 51.427759133045825, 0.0528534388706576 51.42735285724136, 0.0525810470363648 51.42788589551426, 0.0518330123894352 51.4280907038604, 0.0516028976590311 51.42766095313134, 0.0524087770038051 51.42694524731949, 0.0536127306927577 51.426844767734565, 0.0529632367364297 51.4261547041842, 0.0534435336132409 51.42590918389403, 0.0532875662682217 51.42493708174473, 0.0517235172827385 51.42503377312501, 0.0508305115233539 51.42424227680501, 0.050778525089122 51.4242628089482, 0.0500422474261998 51.424155798096024, 0.0497757793485627 51.424681711962144, 0.0482492041457377 51.425236471895346, 0.046836981326918 51.42510560500034, 0.0463095155124047 51.42538646320735, 0.0467081982274217 51.425757542638515, 0.0461716347024961 51.42605292959914, 0.0465557433398109 51.42641194379401, 0.0474095094913395 51.42645763437928, 0.0473975111450777 51.42706581456217, 0.0469720693971018 51.427361008346466, 0.0475363343194338 51.42823559804355, 0.0463925646127413 51.42829261665108, 0.0458101083861401 51.428607975713604, 0.0455744002799592 51.42834198093103, 0.0450678298296771 51.42862013027458, 0.0447096071281324 51.42832489553716, 0.0436215703219241 51.4287947562793, 0.0449798864782244 51.42899860886008, 0.0447779592718794 51.42956842039738, 0.0452323020474224 51.42981073636923, 0.0463464225096627 51.42906869553954))",1.589774591931763e-05,767,E01000783,Bromley,978,3,31.443,0.208,0.125,40.461,0.026,1.017,29.262,15.39,1
780,E01000796,Bromley 009C,E02000135,Bromley 009,E09000006,Bromley,E12000007,London,1630,1630,0,164.3,638,2.6,99955.5996884776,2.0,20.5,1.0,2.565,2.0,0.66027397260274,"POLYGON ((-0.0608369662596136 51.415357763693926, -0.0603503352664204 51.414806567187554, -0.0597881450372438 51.41513842727476, -0.0593409900830922 51.414967904073364, -0.0596076205519404 51.41463841885063, -0.0590064119304454 51.41425319579137, -0.0584920719824683 51.414632064894455, -0.0577568496529368 51.414374569120994, -0.0574856230600105 51.41428296996608, -0.0563157294510448 51.41380755929067, -0.0565843420270606 51.413560882867614, -0.0572269374454151 51.4136859612813, -0.0575361279819473 51.41304062376851, -0.0581919049080486 51.4129281563605, -0.0582934219835716 51.412517719146216, -0.0586627626498802 51.41262957486079, -0.06013114687383 51.41161808920802, -0.060670358053838 51.411762912108, -0.0611088198213051 51.41143232816347, -0.0614303391507806 51.411558248951195, -0.0617627173554353 51.41200343774888, -0.0619908392429008 51.41176319264602, -0.062500187283077 51.411960462433264, -0.0620322887645103 51.412483297056106, -0.0618542359497187 51.412802777988205, -0.0629219865177374 51.413208432842275, -0.0616324923820885 51.41452466342207, -0.0608369662596136 51.415357763693926))",2.000888400683119e-05,780,E01000796,Bromley,1148,3,30.14,0.239,0.155,22.635,0.013,0.174,32.284,14.841,1
782,E01000798,Bromley 009D,E02000135,Bromley 009,E09000006,Bromley,E12000007,London,1464,1464,0,108.3,693,2.1,133165.77739728443,6.0,64.5,1.5,0.605,2.333333333333333,0.089041095890411,"POLYGON ((-0.0525813269731188 51.41350444792383, -0.0522997050018841 51.41342805049455, -0.0536977281989461 51.41239912637331, -0.0528494836958155 51.41193916588908, -0.0523458224524854 51.41166623843977, -0.0530883051241093 51.4110717545283, -0.0545863128740349 51.41098339586643, -0.0552093051745748 51.411551151871365, -0.0558224286447587 51.41156548007537, -0.0561313944845106 51.41108557284493, -0.0567322667166078 51.411007841208374, -0.0578272115973059 51.411676780015625, -0.0579168700107218 51.412248612576136, -0.0595046752365131 51.411069582587686, -0.0601989934906862 51.411077543593805, -0.0601311468718321 51.411618089209995, -0.0586627626502912 51.412629574861505, -0.058293421983824 51.41251771914518, -0.0581919049096367 51.412928156361374, -0.0575361279797104 51.413040623767884, -0.0572269374468764 51.41368596128151, -0.0565843420272423 51.41356088286799, -0.0563157294496193 51.41380755929093, -0.054441112970419 51.41553934436634, -0.0525813269731188 51.41350444792383))",4.5056621282656625e-05,782,E01000798,Bromley,171,1,42.145,0.281,0.18,33.238,0.281,1.189,33.848,32.612,1
835,E01000853,Camden 025A,E02000190,Camden 025,E09000007,Camden,E12000007,London,1631,1596,35,278.3,840,1.9,58450.80762931525,55.0,157.05454545454546,5.254545454545455,1.568125,7.490909090909091,0.326874221668742,"POLYGON ((-0.123063076549338 51.52492683770667, -0.1223398997783397 51.52375699213739, -0.1231245458892661 51.5235052239546, -0.1232133470411859 51.52348446929339, -0.1241616810284128 51.52326676895437, -0.1242938162090365 51.52349922518576, -0.1253953350228828 51.52356375733622, -0.1255141651868712 51.52371844810258, -0.1258420225233638 51.52412094005932, -0.1259763045727916 51.52491090112416, -0.1272906827120234 51.52463383628335, -0.1275361472481593 51.52485851196188, -0.1255595019181214 51.52569545607587, -0.1249399566529161 51.52583098996389, -0.1242415638434723 51.52598376634131, -0.1237333515651333 51.52609497792121, -0.1233519865873003 51.525435490473924, -0.123063076549338 51.52492683770667))",0.0009409621907844343,835,E01000853,Camden,1065,3,30.826,0.226,0.177,11.128,-0.043,0.583,21.208,37.016,1
840,E01000858,Camden 018B,E02000183,Camden 018,E09000007,Camden,E12000007,London,1861,1861,0,85.4,775,2.4,219061.84377106072,64.0,219.890625,3.109375,1.427592592592593,5.453125,0.340753424657534,"POLYGON ((-0.1452833701998615 51.54489305309202, -0.145400427728713 51.54410117533586, -0.1448621153552896 51.54473175834619, -0.1445605233412496 51.54451158360009, -0.1441303779408002 51.544922326750516, -0.1436963563160187 51.54388804465096, -0.142948927982563 51.54390950593418, -0.1425906494988881 51.5438259144475, -0.1423493598472584 51.54314814492922, -0.1427388288028096 51.542972762460934, -0.1433192356043776 51.54332382492671, -0.1442355727645118 51.54325240043441, -0.1439175441891519 51.54246572657138, -0.1442157666493175 51.54217953825477, -0.1441817418390389 51.54171814530539, -0.1451611275836422 51.54135755132603, -0.1458834037022083 51.541767937284156, -0.1462892300630727 51.54155491641419, -0.1472326506097193 51.541492412512184, -0.1483613020212171 51.540841651498106, -0.1478777992079644 51.53986107989111, -0.1492541650953119 51.539532805883184, -0.1496998731961801 51.539915253708614, -0.1500762012107027 51.539758488038274, -0.1514883997091356 51.540462556465144, -0.1515422729844244 51.54048574258263, -0.1510706994581408 51.54076338123548, -0.1528519300758357 51.54154870398313, -0.1551834044778024 51.54273376170393, -0.1551619010230071 51.54277907822356, -0.1549920392894885 51.54311654638381, -0.1547622112444124 51.54333562974602, -0.1527051927668804 51.5438382008111, -0.1490280268679314 51.54292652585293, -0.1489236031685693 51.54290551750693, -0.1473507349871352 51.542503536997366, -0.145767181916619 51.54369582832349, -0.1459513200149489 51.5439991225853, -0.1462665964141692 51.544925948377745, -0.1464330525492418 51.545475742339534, -0.1451411984242391 51.54530867588596, -0.1441908722133265 51.545278000205485, -0.1452833701998615 51.54489305309202))",0.0002921549408069702,840,E01000858,Camden,419,1,37.66,0.261,0.165,13.07,0.328,1.81,25.208,27.855,1
849,E01000867,Camden 015C,E02000180,Camden 015,E09000007,Camden,E12000007,London,1608,1608,0,198.8,675,2.4,80597.43365180607,56.0,107.60714285714286,6.178571428571429,1.797619047619048,24.321428571428573,0.34339530332681,"POLYGON ((-0.1364012718106122 51.5441902058656, -0.1359474673984823 51.54397794102118, -0.1354261745953092 51.5437127332199, -0.1358976457273917 51.54332002466102, -0.1354389537382446 51.54309000089777, -0.1345268464676284 51.54264901489486, -0.1340700314760521 51.54296571293371, -0.1337161360894383 51.54261765027521, -0.1350608679707697 51.54226772654443, -0.135862253049746 51.54198828877651, -0.1354307770284449 51.54160750685883, -0.1375884025531869 51.54088946936003, -0.1386819092513742 51.54211707555002, -0.1392283027250614 51.54274836373997, -0.1398115201804376 51.5433915456451, -0.1392412483930744 51.54355734253575, -0.1381185054103118 51.5433235843597, -0.1380028637442185 51.54369124051778, -0.1385980697596882 51.54395464201666, -0.1377065407000977 51.54459694344049, -0.136901907718684 51.54417051455801, -0.1359036180721313 51.54482009940646, -0.1364012718106122 51.5441902058656))",0.0006948112050555982,849,E01000867,Camden,1361,3,28.4,0.22,0.122,21.635,-0.078,0.4,24.804,37.23,1
850,E01000868,Camden 015D,E02000180,Camden 015,E09000007,Camden,E12000007,London,1442,1442,0,172.3,584,2.5,83051.3644619279,39.0,117.94871794871794,2.179487179487179,1.4034375,34.87179487179487,0.251211801896733,"POLYGON ((-0.1292338152763505 51.54326562153975, -0.1286539681817178 51.54246766132102, -0.1279021403380055 51.5426047615821, -0.1275257622250611 51.542667187617226, -0.125925265580809 51.542926926771486, -0.1254895469813665 51.54174752552268, -0.1251267744909718 51.54118814203743, -0.1250868491910704 51.54112167896356, -0.1275595638049724 51.54106063570041, -0.1288417667759188 51.541105589260546, -0.1307090321455394 51.54112542940291, -0.131064251401241 51.54211791449156, -0.1311490477037958 51.54236959791915, -0.131479776770728 51.5430260291795, -0.1306996112236707 51.543117355961975, -0.1291333740105194 51.54428025072368, -0.1286757569703226 51.54410230196378, -0.1292138037821196 51.54363574755399, -0.1292338152763505 51.54326562153975))",0.0004695889134714727,850,E01000868,Camden,308,1,39.291,0.249,0.18,17.966,0.452,0.672,31.534,51.997,1
858,E01000876,Camden 013B,E02000178,Camden 013,E09000007,Camden,E12000007,London,1748,1748,0,149.7,800,2.2,117427.61415383578,22.0,100.22727272727273,4.045454545454546,0.800833333333333,14.681818181818182,0.3,"POLYGON ((-0.2005861084704953 51.550443097290255, -0.1987352135960397 51.54983555023535, -0.1996292153201245 51.55052339542404, -0.1987880087916852 51.55084806750249, -0.1981044986467308 51.54918003192404, -0.1976436355575237 51.54884744646001, -0.1981019335944662 51.54801545972328, -0.1984466580558949 51.54804132815216, -0.2011330413995515 51.5476424418482, -0.2032280042291408 51.54709894108331, -0.2037448390599732 51.54696563857857, -0.2039497895191333 51.54716839824692, -0.2045789293255298 51.54777193886195, -0.2048396780761702 51.54801382236657, -0.205333056488473 51.54847712241533, -0.204219906303508 51.54841980401049, -0.2040996128395983 51.548757641124716, -0.2034389443780442 51.54888510098065, -0.2031613441215197 51.548422669796224, -0.201985034912432 51.54825241661274, -0.2030165337325204 51.54971855685905, -0.2024981734347237 51.5501458659386, -0.2024361516495547 51.55050374786243, -0.2016139153272701 51.55040898415594, -0.2014236942484214 51.55062699324933, -0.2008490037541174 51.55097151995108, -0.2005861084704953 51.550443097290255))",0.00018734945914151803,858,E01000876,Camden,1169,3,29.94,0.224,0.146,15.354,0.434,0.441,26.755,26.471,1
871,E01000889,Camden 007A,E02000172,Camden 007,E09000007,Camden,E12000007,London,1670,1670,0,142.4,657,2.5,114134.38481844321,18.0,97.83333333333333,3.888888888888889,1.972666666666667,58.72222222222222,0.243683409436834,"POLYGON ((-0.1482514537973318 51.55323881699615, -0.1477780044535693 51.55247114951593, -0.147546247853029 51.551901964716166, -0.1475028765584477 51.55173573799895, -0.1472112639929824 51.548797284253304, -0.1476729746893497 51.54895724856915, -0.1491087904257295 51.55011141932825, -0.1496918123724975 51.550846143950494, -0.1488224614868434 51.55107657527633, -0.148202992677162 51.550347403885446, -0.1482019953301994 51.550917904891364, -0.1499604472021629 51.551777186370266, -0.1505685551101191 51.552535115624714, -0.1500167567741585 51.5526653854764, -0.1506390376597614 51.55268970959849, -0.1516857134996268 51.55269026850013, -0.1534337065589418 51.551937141001986, -0.1542875333000672 51.55263316492384, -0.1539475172600305 51.55274617397711, -0.1541353690634889 51.55329702066598, -0.1540105967636674 51.55332549700892, -0.1538448878161797 51.55314304097183, -0.1514532356117824 51.55402772022744, -0.1505792193855768 51.55435055150964, -0.1511148339771827 51.55501544095312, -0.1507564710983493 51.55512562487245, -0.1482514537973318 51.55323881699615))",0.00015770882743735036,871,E01000889,Camden,1059,3,30.868,0.229,0.169,24.407,0.415,0.196,18.763,26.258,1
872,E01000890,Camden 007B,E02000172,Camden 007,E09000007,Camden,E12000007,London,1640,1625,15,214.9,767,2.1,75626.26671006289,8.0,91.375,2.625,0.822857142857143,1.5,0.41472602739726,"POLYGON ((-0.1557777363535173 51.55313182150631, -0.1556451451564223 51.55294424135441, -0.1541353690642983 51.553297020665525, -0.1539475172578365 51.552746173975635, -0.1542875333018358 51.552633164923044, -0.1534337065585618 51.551937141003904, -0.1533361065561536 51.55110274315283, -0.1541165050751515 51.551100518947976, -0.1542578768618792 51.550424794098454, -0.1547314520856099 51.55060801856861, -0.1559349554182756 51.550842507561676, -0.1568667070209652 51.55106169961091, -0.1574822573508739 51.552013226570075, -0.1578919649613395 51.55192929500795, -0.1580833612439218 51.5523427864699, -0.159526681275183 51.55210825272814, -0.1595328164716043 51.55266635627027, -0.1580581553427234 51.55299820882506, -0.1577441634194167 51.552449758415136, -0.1575572904585167 51.5527226219205, -0.1577277317773576 51.55307817932858, -0.1562965824563857 51.553345695764186, -0.1557777363535173 51.55313182150631))",0.00010578335210794577,872,E01000890,Camden,226,1,40.883,0.294,0.226,33.648,0.615,0.404,21.662,20.233,1
873,E01000891,Camden 007C,E02000172,Camden 007,E09000007,Camden,E12000007,London,1575,1534,41,203.0,672,2.3,78561.06591549986,19.0,85.47368421052632,6.842105263157895,0.846153846153846,19.894736842105264,0.270511896178803,"POLYGON ((-0.149960447204961 51.55177718637129, -0.1482019953266968 51.55091790489181, -0.148202992679326 51.550347403884224, -0.1488224614865805 51.551076575274294, -0.1496918123710744 51.55084614395066, -0.1508914986640746 51.550332678182215, -0.1510343980246253 51.5502657154374, -0.1528526870720234 51.549306590673986, -0.1530200943592454 51.549207359827086, -0.1535424182665691 51.549908889636995, -0.153582199227058 51.5499519780112, -0.1542578768604234 51.55042479409819, -0.15411650507559 51.5511005189488, -0.1533361065562002 51.551102743153365, -0.1534337065594777 51.55193714100437, -0.1516857134995873 51.552690268498914, -0.1506390376583682 51.55268970960014, -0.1500167567748057 51.552665385477916, -0.1505685551085771 51.552535115624586, -0.149960447204961 51.55177718637129))",0.00024185007902561258,873,E01000891,Camden,372,1,38.283,0.277,0.19,29.554,0.496,0.787,26.18,20.126,1
883,E01000901,Camden 007D,E02000172,Camden 007,E09000007,Camden,E12000007,London,1977,1821,156,186.5,703,2.6,106410.55730154032,33.0,77.6969696969697,4.515151515151516,0.896190476190476,8.575757575757576,0.163138231631382,"POLYGON ((-0.1491087904276377 51.550111419329625, -0.14767297469188 51.54895724857093, -0.1472112639914802 51.548797284253304, -0.1468218432476402 51.547083062619045, -0.1466846639336704 51.54638823399683, -0.147956237408346 51.54609097050012, -0.1486832802748724 51.54600546189009, -0.1489960282533498 51.54678091480355, -0.1494350312498612 51.54673701490553, -0.1490079158302712 51.54680890701127, -0.1492073773749897 51.547278842853494, -0.1497506138036854 51.54728589162353, -0.1497627587376227 51.54750984225831, -0.1497891784809331 51.54786685445059, -0.1509345281609553 51.54783642411706, -0.1513499438008941 51.54844223615212, -0.1520018175400404 51.54938035524591, -0.1523876908459443 51.54910828733899, -0.1528526870709385 51.54930659067283, -0.1510343980266274 51.55026571543864, -0.1508914986624332 51.550332678182286, -0.1496918123736671 51.55084614395159, -0.1491087904276377 51.550111419329625))",0.0003101196050170702,883,E01000901,Camden,1122,3,30.351,0.248,0.155,25.217,-0.067,0.469,22.769,21.845,1
884,E01000902,Camden 012B,E02000177,Camden 012,E09000007,Camden,E12000007,London,1451,1451,0,172.5,590,2.5,80587.58778228359,22.0,99.0909090909091,2.227272727272727,1.172777777777778,52.81818181818182,0.232129514321295,"POLYGON ((-0.1565961810273607 51.550025972020336, -0.1565621291684181 51.549604159273336, -0.1561161391753946 51.54965483737989, -0.1548510528383221 51.54979884450858, -0.1545236409327208 51.54923063322561, -0.1551146770419844 51.54915482413771, -0.1549230638726812 51.54889383577767, -0.1555769630523774 51.548835927759, -0.155788616820527 51.547557085760786, -0.1554593155041539 51.54751247708948, -0.1558558430723609 51.546284731698044, -0.1545639130641956 51.54662039193041, -0.1548926641656924 51.54578572227749, -0.1536114305380082 51.54583488800697, -0.1539806707533326 51.54448079773501, -0.1547305433009253 51.54490449361122, -0.1556527925434798 51.54551676841508, -0.155892722790739 51.54568507477166, -0.1567086053315135 51.54617395633896, -0.1574750230109111 51.54646751278735, -0.1572786658654811 51.54672083032416, -0.1572140351624093 51.54708071780437, -0.1581404199675276 51.54752569704984, -0.1573176607853713 51.54755338742026, -0.157320322032531 51.54790517748847, -0.1578353179826081 51.54789386823085, -0.1578531051811951 51.54889750578072, -0.1576998304917747 51.54993609052364, -0.1565961810273607 51.550025972020336))",0.0002729948941943202,884,E01000902,Camden,507,2,36.241,0.279,0.172,19.724,0.615,0.744,26.048,21.975,1
887,E01000905,Camden 012D,E02000177,Camden 012,E09000007,Camden,E12000007,London,2044,1965,79,237.7,812,2.4,85979.01308670956,24.0,117.41666666666667,8.75,1.759545454545455,2.083333333333333,0.289155251141553,"POLYGON ((-0.1515984501244703 51.547183648126314, -0.1511459902867191 51.546520564641725, -0.1507414695984044 51.5465749241321, -0.1504248746945793 51.545948051576076, -0.1498358365768762 51.545956946555435, -0.1498529157028642 51.545671372861364, -0.1492990532036507 51.545627755382796, -0.1492681971778239 51.54458366754198, -0.1510548630014793 51.545155612422796, -0.1519546068913248 51.54482370541038, -0.1520508501795083 51.54452990037082, -0.1527157003442729 51.54392523333104, -0.1539806707554988 51.54448079773595, -0.1536114305375812 51.5458348880073, -0.1548926641663645 51.54578572227661, -0.1545639130662703 51.5466203919302, -0.1544515095374602 51.547064702981096, -0.1535587363609161 51.54710194857879, -0.1536078309751057 51.547533738088205, -0.15240141553412 51.547659451995536, -0.152029399713838 51.54776069290276, -0.1515984501244703 51.547183648126314))",0.00027913788654210394,887,E01000905,Camden,384,1,38.075,0.291,0.171,24.836,0.524,0.992,22.68,26.951,1
889,E01000907,Camden 001A,E02000166,Camden 001,E09000007,Camden,E12000007,London,1430,1430,0,133.4,627,2.3,105542.46387549603,14.0,144.35714285714286,3.071428571428572,1.58,74.21428571428571,0.142857142857143,"POLYGON ((-0.1413622727557204 51.5664001019302, -0.1411884023779396 51.565627865247706, -0.1411242864737886 51.56535923472121, -0.1407918621537383 51.5647559441147, -0.1408169822357733 51.56362933813829, -0.1408479092863979 51.56181378735986, -0.1416274423021081 51.56182353748185, -0.14215706618117 51.56166049270532, -0.1426614980715511 51.560054138099865, -0.1437219195058138 51.56059145554315, -0.1429733727391226 51.56165605955727, -0.1433977147039312 51.56248410782584, -0.1426230125285365 51.56328176889158, -0.1416833150217642 51.562864451726426, -0.141195419909084 51.56309530201224, -0.1415464367509786 51.56342290829424, -0.1435263081044972 51.56420571165841, -0.1439959927641577 51.563974563668566, -0.1452016112204871 51.56464481437491, -0.1446042897787639 51.5661204526298, -0.1429319653882968 51.56606351327265, -0.1413622727557204 51.5664001019302))",0.00013264803081075696,889,E01000907,Camden,732,2,33.796,0.236,0.184,19.066,0.32,1.103,21.115,18.547,1
899,E01000917,Camden 027C,E02000192,Camden 027,E09000007,Camden,E12000007,London,1888,1855,33,249.7,913,2.0,74788.80346383888,42.0,148.11904761904762,4.071428571428571,1.45,17.738095238095237,0.369732550554468,"POLYGON ((-0.1124132623908504 51.52227909535126, -0.1121152694597192 51.522154492066704, -0.1118769813032163 51.52240425480869, -0.1112877744915325 51.52193204927289, -0.1118261771693058 51.52182555020349, -0.1114970425020812 51.52115555070979, -0.1111251513835879 51.52122196133351, -0.1111254967077796 51.5216738055172, -0.110832230654816 51.52127877075137, -0.1099308991349009 51.52124881010311, -0.1100251727672341 51.52047548771917, -0.110178653726433 51.52048044262284, -0.1100698146203077 51.52015236796919, -0.1095105042312153 51.520261849163994, -0.1091724381255711 51.51921555004271, -0.107454055862644 51.5178286859535, -0.10940663077234 51.51790488627203, -0.1106722245957384 51.51809444683464, -0.1105848362527586 51.519379906678765, -0.1102757280567775 51.5194087928673, -0.1103297330918456 51.51960320922171, -0.1110936640914612 51.519522432491044, -0.1113074763462142 51.51988805876148, -0.1125367806465108 51.519582191470604, -0.112214255365313 51.51979123004533, -0.1125089143280768 51.52025618277456, -0.1114846095539806 51.520456774856584, -0.1125790515711838 51.52138617946021, -0.1125429170360803 51.52168801670157, -0.1133307333844633 51.521516605212646, -0.1137743444372563 51.52213201219911, -0.114211501004723 51.52265759519429, -0.1131025683185232 51.522981477406326, -0.1128123117388961 51.522680054474534, -0.1122962030631653 51.522532752134225, -0.1124132623908504 51.52227909535126))",0.0005615813872501304,899,E01000917,Camden,619,2,34.957,0.278,0.193,19.078,-0.055,0.101,22.324,39.25,1
907,E01000925,Camden 009D,E02000174,Camden 009,E09000007,Camden,E12000007,London,1563,1552,11,188.8,629,2.5,83499.15111457839,13.0,75.46153846153847,7.153846153846154,1.297,79.23076923076923,0.234984193888303,"POLYGON ((-0.1378703135050318 51.551425136101294, -0.13684281002221 51.551243371298874, -0.1359348506943412 51.55125803969876, -0.1353850841854781 51.55092875844449, -0.13478626246707 51.55076434481501, -0.1348248198192751 51.54990875851585, -0.1335722900723692 51.549764860360746, -0.1331917390889662 51.5493413126111, -0.1326232672521294 51.54867099586754, -0.1333833417713287 51.548578715697865, -0.1342909174343556 51.5496530846421, -0.1343301639961498 51.54918770129041, -0.1349348642100774 51.549246981066936, -0.1350230279639682 51.5487667731922, -0.1366008478518338 51.548837013006874, -0.1374260273883068 51.54916700150869, -0.1386102810850285 51.54907779685517, -0.1385303142982036 51.5495019163884, -0.1375667676220109 51.549432669884, -0.1375026744692005 51.54987082617453, -0.1393382765841497 51.55009154504783, -0.1401889022845941 51.55087377922882, -0.138028069883632 51.55085180784189, -0.1379704522465782 51.55117276044748, -0.1386418326095013 51.55138762349797, -0.1381172321976974 51.55280235566715, -0.137699731808107 51.55275387861879, -0.1378413547203569 51.551891969484814, -0.1378703135050318 51.551425136101294))",0.000155690205546656,907,E01000925,Camden,1234,3,29.369,0.252,0.151,16.507,0.16,0.125,22.9,26.391,1
